"org_admin","sex","PPNYR","year","order"
"Jeonnam","Male",0.315216958308413,2020,1
"Chungnam","Male",0.370569283840182,2020,2
"Sejong","Male",0.389760661278934,2020,3
"Gyeongbuk","Male",0.395482068155258,2020,4
"Jeonbuk","Male",0.408926317538551,2020,5
"Gangwon","Male",0.421585915688475,2020,6
"Chungbuk","Male",0.462335673565114,2020,7
"Gyeongnam","Male",0.519213042197782,2020,9
"Busan","Male",0.559980593412149,2020,10
"Gwangju","Male",0.565139657344737,2020,11
"Seoul","Male",0.566852069836405,2020,12
"Daejeon","Male",0.584239641135512,2020,13
"Ulsan","Male",0.587607103239253,2020,14
"Daegu","Male",0.601473910352253,2020,15
"Incheon","Male",0.653907250643488,2020,16
"Jeju","Male",0.685417333386066,2020,17
"Gyeonggi","Male",0.748933881877652,2020,18
"Jeonnam","Female",0.296943498158185,2020,1
"Chungnam","Female",0.322388549824257,2020,2
"Sejong","Female",0.349905979726065,2020,3
"Gyeongbuk","Female",0.382872576381439,2020,4
"Gangwon","Female",0.384573660872293,2020,6
"Chungbuk","Female",0.390827618842221,2020,7
"Jeonbuk","Female",0.402601107671024,2020,5
"Gyeongnam","Female",0.501392143261787,2020,9
"Gwangju","Female",0.543871324142807,2020,11
"Busan","Female",0.548926227967047,2020,10
"Seoul","Female",0.567266477784324,2020,12
"Daejeon","Female",0.576176966028256,2020,13
"Ulsan","Female",0.59028388247333,2020,14
"Daegu","Female",0.614545447768527,2020,15
"Incheon","Female",0.628936343085206,2020,16
"Gyeonggi","Female",0.707027057692039,2020,18
"Jeju","Female",0.712202105218091,2020,17
